LPC18xx/43xx DFUSec programming API tool
Build date: Jan  2 2013:11:05:50
SPIFLASH: device base 80000000 with size 00100000 bytes
SPIFLASH: Alternate device base 14000000 with size 00100000 bytes
Number of memory regions : 2
Region #0 @ 0x80000000, size 00100000 bytes
Region #1 @ 0x14000000, size 00100000 bytes
ERASE region: Start 80000000, size 00005434
PROG @ 0x80000000, 00000800 bytes
PROG @ 0x80000800, 00000800 bytes
PROG @ 0x80001000, 00000800 bytes
PROG @ 0x80001800, 00000800 bytes
PROG @ 0x80002000, 00000800 bytes
PROG @ 0x80002800, 00000800 bytes
PROG @ 0x80003000, 00000800 bytes
PROG @ 0x80003800, 00000800 bytes
PROG @ 0x80004000, 00000800 bytes
PROG @ 0x80004800, 00000800 bytes
PROG @ 0x80005000, 00000434 bytes
READ @ 0x80000000, 00000800 bytes
READ @ 0x80000800, 00000800 bytes
READ @ 0x80001000, 00000800 bytes
READ @ 0x80001800, 00000800 bytes
READ @ 0x80002000, 00000800 bytes
READ @ 0x80002800, 00000800 bytes
READ @ 0x80003000, 00000800 bytes
READ @ 0x80003800, 00000800 bytes
READ @ 0x80004000, 00000800 bytes
READ @ 0x80004800, 00000800 bytes
READ @ 0x80005000, 00000434 bytes
